Id;From-User;To-User;Text
1660312193915842560;akun andromu;;SPESIAL AKHIR BULAN MEI 2023! Inilah 30 Kode Promo Gojek dan Grab, Auto Dapatkan Diskon Cashback 90 Persen - Dicintai https://t.co/GmjfYt9tnM
1660311114637541376;bombom;GrabID;"@GrabID B. Ikan Gurame 
#GrabMartID   #SpesialisSegarGrabMart  grab gaa ada obat emang diskon teruss"
1660289909394132993;????????;;sangar bener diskon nya grab. 131k loh jadi 17k?? https://t.co/Hk2fM4wnmQ
1660247404594212867;SEAN;aloorissa;@aloorissa No 1468920 ya kak, scroll aja. Tinggal 1 lagi, grab it fast! Masih diskon 1 menit lagi ????
1660242135340425218;syify;;diskon sin nan da di grab lumayan bgt deh for my broke ass ????????
1660230923760304130;s;discountfess;@discountfess Di lazada lg ada diskon 2k, sama di grab coba cek2 pas apply vouchernya suka ada diskon jg atau tokped jg ada nder
1660219556424716288;ARössid1987??;;"RT @GrabID: Pertandingan mana nih yg kamu tunggu minggu ini? Yuk dukung tim jagoanmu dengan nonton di Vidio!
Langganan sekarang di sini & d…"
1660215467557130240;reza shaputra;;"RT @GrabID: Pertandingan mana nih yg kamu tunggu minggu ini? Yuk dukung tim jagoanmu dengan nonton di Vidio!
Langganan sekarang di sini & d…"
1660214588003196929;Grab Indonesia;;"Pertandingan mana nih yg kamu tunggu minggu ini? Yuk dukung tim jagoanmu dengan nonton di Vidio!
Langganan sekarang di sini & dapetin voucher diskon Grab s.d. 560rb ?? https://t.co/9HhP0ywzo6 https://t.co/1eqwfVRxAv"
1660208741168611328;portalyogya.com;;"Ada 12 kombinasi Kode Promo Gojek dan Grab yang bisa kamu klaim untuk mendapatkan berbagai diskon spesial di bulan Mei 2023.

#portalyogya #Gojek #Grab 

https://t.co/1wnhvAWk6x"
1660169686104014848;zifa #GoldenHour;;"Wts voc grab express diskon 95% maks. 10k, fee 3k, prefer dom jabodetabek. Fast respon chat wa di bio @suzumeselle

Wts voc gosend

#zonauang #zonabu #zonaba https://t.co/hb1R075Q8S"
1660148923007389698;Grab Indonesia;xmilteea;@xmilteea Eitss, kalau laper pesen makan fitur Group Order di GrabFood aja Kak?? bisa bebas seenaknya pilih masing2 & barteran jajan ?? Apalagi ada diskon s/d Rp150rb loh. Yuk langsung klik di sini????-Mawar https://t.co/8Zxmd95Xyu
1660148851234476032;Grab Indonesia;ppwandita;@ppwandita Eitss, kalau laper pesen makan fitur Group Order di GrabFood aja Kak?? bisa bebas seenaknya pilih masing2 & barteran jajan ?? Apalagi ada diskon s/d Rp150rb loh. Yuk langsung klik di sini????-Mawar https://t.co/8Zxmd95Xyu
1660148787317448707;Grab Indonesia;chumeitian_;@chumeitian_ Eitss, kalau laper pesen makan fitur Group Order di GrabFood aja Kak?? bisa bebas seenaknya pilih masing2 & barteran jajan ?? Apalagi ada diskon s/d Rp150rb loh. Yuk langsung klik di sini????-Mawar https://t.co/8Zxmd95Xyu
1660148721672400896;Grab Indonesia;nuniun;@nuniun Eitss, kalau laper pesen makan fitur Group Order di GrabFood aja Kak?? bisa bebas seenaknya pilih masing2 & barteran jajan ?? Apalagi ada diskon s/d Rp150rb loh. Yuk langsung klik di sini????-Mawar https://t.co/8Zxmd95Xyu
1660148651052900352;Grab Indonesia;ssxobin;@ssxobin Eitss...pengen Jajan?,  cusss pake Group Order di GrabFood aja Kak, pesen ramean bebas seenaknya pilihnya masing-masing! Mumpung ada diskon s/d Rp150rb nih ?? Langsung pesen jajannya di sini ya????-Mawar https://t.co/8Zxmd95Xyu
1660148460509855744;Grab Indonesia;aprilbigwinplzz;@aprilbigwinplzz Eitss...pengen Jajan?,  cusss pake Group Order di GrabFood aja Kak, pesen ramean bebas seenaknya pilihnya masing-masing! Mumpung ada diskon s/d Rp150rb nih ?? Langsung pesen jajannya di sini ya????-Mawar https://t.co/8Zxmd95Xyu
1660129696414310400;@racunshopeecheck ?;racunshpeecheck;"PROMO KOPER POLO 20 INC CABIN SIZE BISA INSTAN GRAB, 

Rating : 4,9
Cek Diskon : https://t.co/yebmCqhDTB
Gratis Ongkir : https://t.co/5xLiVjuJhl https://t.co/1vusISKdPw"
1660125772844249092;Vidio;;"Bisa jajan asik dari rumah! Pesan makanan di Grab food untuk nemenin kamu nonton di Vidio! Klik disini untuk dapatkan diskon sekarang https://t.co/VS8C6hazJz

#SemuaAdaDiVidio https://t.co/TTUp7yBnAp"
1660086027518881792;wts voc grab gosend jasa isi kuisioner;;"Wts voc grab express diskon 95% maks. 10k, fee 3k, prefer dom jabodetabek. Fast respon chat wa di bio

Wts voc gosend https://t.co/jSnhsi97YG"
1660050811597234176;zifa #GoldenHour;;"Wts voc grab express diskon 95% maks. 10k, fee 3k, prefer dom jabodetabek. Fast respon chat wa di bio @suzumeselle

Wts voc gosend https://t.co/hb1R075Q8S"
1659959934312910848;Diskon Link;;Kode Promo Grab Hari Ini 19 Mei 2023, Diskon Kaget GrabFood 40 Persen, GrabMart Potongan Rp 50 ribu https://t.co/fNOXm7aTcA https://t.co/EOWxAW2qAZ
1659875229982945283;Raka Andrean Hartawan;;Sekarang diskon makanan dah ga ada apa ya di Grab sama Gojek ??
1659859598118121472;Grab Indonesia;junkieywannabe;@junkieywannabe Tenang kak, kalau laper pesen makan fitur Group Order di GrabFood aja Kak?? bisa bebas seenaknya pilih masing2 & barteran jajan ?? Apalagi ada diskon s/d Rp150rb loh. Yuk langsung klik di sini????-Mawar https://t.co/8Zxmd95Xyu
1659859550605029376;Grab Indonesia;214bloom;@214bloom Eitss, kalau laper pesen makan fitur Group Order di GrabFood aja Kak?? bisa bebas seenaknya pilih masing2 & barteran jajan ?? Apalagi ada diskon s/d Rp150rb loh. Yuk langsung klik di sini????-Mawar https://t.co/8Zxmd95Xyu
1659859503578501120;Grab Indonesia;tangszuyok;@tangszuyok Nah pas banget laper pesen makan fitur Group Order di GrabFood aja Kak?? bisa bebas seenaknya pilih masing2 & barteran jajan ?? Apalagi ada diskon s/d Rp150rb loh. Yuk langsung klik di sini????-Mawar https://t.co/8Zxmd95Xyu
1659859456052834305;Grab Indonesia;er0rnt;@er0rnt Eitss, kalau laper pesen makan fitur Group Order di GrabFood aja Kak?? bisa bebas seenaknya pilih masing2 & barteran jajan ?? Apalagi ada diskon s/d Rp150rb loh. Yuk langsung klik di sini????-Mawar https://t.co/8Zxmd95Xyu
1659859409051455490;Grab Indonesia;megarach24;@megarach24 Tenang kak, kalau laper pesen makan fitur Group Order di GrabFood aja Kak?? bisa bebas seenaknya pilih masing2 & barteran jajan ?? Apalagi ada diskon s/d Rp150rb loh. Yuk langsung klik di sini????-Mawar https://t.co/8Zxmd95Xyu
1659859361655836672;Grab Indonesia;alnayxkirs;@alnayxkirs Tenang kak, kalau laper pesen makan fitur Group Order di GrabFood aja Kak?? bisa bebas seenaknya banyak pilihan?? Apalagi ada diskon s/d Rp150rb loh. Yuk langsung klik di sini????-Mawar https://t.co/8Zxmd95Xyu
1659859306278457345;Grab Indonesia;seishiraw;"@seishiraw Nah biar makin seru dan pastinya hemat kalo mau makan bareng temen, pesen GrabFood trus pake fitur Group Order aja Kak?? Bisa bebas seenaknya pilih masing2 dan ada diskon s/d Rp150rb. Klik langsung di sini ya????-Mawar 
https://t.co/8Zxmd95Xyu"
